#,What is your Artist name? ,Have you heard of botted playlists and fake streams before? ,Are you aware of how botted playlists and fake streams can affect your career?,Were you aware that several agencies use botted playlists and pay for fake streams for their artists?,Did you know that when you use botted playlists or fake streams you are at risk of having your music removed from Spotify?,Do you know about algorithmic playlists such as 'Discover Weekly' and 'Release Radar'?,Did you know that Liberty Music PR does not work with botted / fake playlists?,Did you know that Liberty Music PR only uses organic playlists and is a trusted agency when it comes to playlisting services? ,Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID,Tags,Ending
qtpfiwuvt2gm3wjzqtpfi5fmqpg7lo9g,CONCERTA,No,Yes,No,No,No,Yes,Yes,completed,2025-08-30 05:59:18,,2025-08-30 06:00:46,c0c67ace18,,
ra48lt43w15ad3zsz0ilra48ys20il39,95 Bulls,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-08-29 20:26:30,,2025-08-29 20:27:06,ed31fb9952,,
7xylvy4bw2nfxxhjv7xylvysvuuiubmk,Colin Hunter,Yes,Yes,No,Yes,No,Yes,Yes,completed,2025-08-29 12:00:03,,2025-08-29 12:01:03,b9eef21944,,
f37o981rjvsf1jlvwf37o98r2m2amdc1,"Robert ""Luther"" Smith",No,No,No,No,Yes,No,Yes,completed,2025-08-29 10:35:26,,2025-08-29 10:36:10,1b80082350,,
k9aq6kf8w39e52rx2qfrk9aq6ku0kqyw,Robert Luther Smith,No,No,No,No,Yes,No,Yes,completed,2025-08-29 10:08:02,,2025-08-29 10:09:01,b29b33feff,,
0238isgfczrwxt3l0238isfrmw1opftw,Lauren Minear,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-08-26 15:48:23,,2025-08-26 15:48:52,ad4998a6bc,,
hywnvhk9ujsxhyw6q43pk2w1z7pybhu1,Sophia Mengrosso,No,No,No,No,No,No,Yes,completed,2025-08-23 23:16:15,,2025-08-23 23:17:09,f89343e059,,
ii485yfxmqicwbb4muii485yfkkp9dls,Soni,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-08-23 01:35:29,,2025-08-23 01:36:13,af07505d27,,
95fa0rws64gy8lbe795fa0r3trxridra,Damien Hendrix,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-08-21 19:17:15,,2025-08-21 19:19:51,52046053ff,,
n24ddnp25a21708lfxzgn24diido2d1y,Senior Dunce,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-08-20 13:16:06,,2025-08-20 13:17:22,2403ee087c,,
djwmtsfvj0vpkdjc0btjhpbflc5ic0c0,Aeleen,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-08-19 15:23:03,,2025-08-19 15:24:17,c16d479ee9,,
za159gw3pbwnfcza1594qoxb4s4a9fx2,,Yes,,Yes,,Yes,,,completed,2025-08-19 02:37:28,,2025-08-19 02:37:52,dc9ff5ae11,,
4exqtzjdusvwd1ut4exqtnneghovismt,Cyclops,Yes,Yes,No,Yes,No,Yes,Yes,completed,2025-08-18 17:23:59,,2025-08-18 17:25:29,097d8f026c,,
5md5hwpz0afhtg4v5wol5md5hwph6tcf,aKa ESSERE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-08-14 22:09:41,,2025-08-14 22:10:14,f5c506c2c1,,
7w7m0u3bw99xmlxafcf17w7m0u3bz4jl,Jill Baldassari,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-08-13 17:32:34,,2025-08-13 17:33:20,5d3b20bf47,,
