Book,Section,Title,Url,Description,Published On,Category,Outlet Name,Outlet Description,Views,Engagements,Audience,Domain Authority,Comments,Backlink 1,Backlink 2,Backlink 3,Backlink 4,Backlink 5,Shares on Facebook,Pinterest Shares,X Shares,Facebook Followers,Facebook Comments,Facebook Likes,Facebook Shares,Instagram Followers,Instagram Comments,Instagram Likes,LinkedIn Followers,LinkedIn Comments,LinkedIn Reactions,Spotify Followers,Spotify Likes,TikTok Followers,TikTok Likes,TikTok Comments,TikTok Shares,Twitch Followers,X Followers,X Likes,X Reposts,YouTube Subscribers,YouTube Likes,OTS,Total No. of Playlist,Total No. of Followers,Impressions,Reach,Clicks,Clickthrough Rate (CTR),Streams,Listeners,Streams/Listener,Saves,Total Streams,Popularity Score,Total Views,Unique Users,Clicks to Service,Playlist Adds,Total Visits,Youtube Views,Youtube Likes,Youtube Playlist Adds
Catalina Cara - 'Shinon',Coverage,Catalina Cara Unveils Latest Single ‘Shinon’: Pressparty,https://www.pressparty.com/pg/newsdesk/NextUpMusicPR/view/454115/,"In a time of well-calculated pop formulas, Moldovan-Romanian alt-pop sensation Catalina Cara throws away the rulebook and literally follows ",,online,Pressparty,,409,0,39156,60,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina Cara - 'Shinon',Coverage,Catalina Cara Soars with soulful alt-pop anthem 'Shinon' | New Music - Music Crowns,https://www.musiccrowns.org/new-music/catalina-cara-soars-with-soulful-alt-pop-anthem-shinon/,"In an era dominated by polished pop templates and predictable hooks, Catalina Cara emerges as a rare voice of authenticity and emotional courage. Her latest single, “Shinon”, is a shimmering alt-pop release that throws away the rulebook, opting instead to follow the beat of her own heart—literally. With its lush soundscape and deeply personal roots, […]",2025-04-08,online,Music Crowns,"Global music artist discovery platform - the go-to brand for the world’s best unsigned, independent and newly-signed music artists.",91,0,9112,65,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina Cara - 'Shinon',Coverage,Catalina Cara Unleashes Shinon: A Cosmic Anthem of Self-Discovery – FM famemagazine.co.uk,https://www.famemagazine.co.uk/catalina-cara-unleashes-shinon-a-cosmic-anthem-of-self-discovery/,Moldovan-Romanian artist Catalina Cara delivers a reality check to the cookie-cutter pop scene through her upcoming single Shinon. This song moves beyond typical pop music because it delivers messages about liberation and self-empowerment and authentic life navigation.,2025-04-10,online,Fame Magazine,Fresh tunes daily and more since 2006,283,1,6007,48,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina Cara - 'Shinon',Coverage,Catalina Cara Shines On Alt-Pop Sweller ‘Shinon’,https://turtletempo.co.uk/2025/04/10/catalina-cara-shines-on-alt-pop-sweller-shinon/,"Moldovan-Romanian alt-pop artist Catalina Cara breaks from the mold with her new single, ‘Shinon’. Dreamy, dancable, soul-stirring, and laced with vibrant and subtly experimental energy…",2025-04-10,online,Turtle Tempo,,182,0,382,23,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina Cara - 'Shinon',Coverage,5 Songs I Love w/ Catalina Cara ,https://www.flexmusicblog.com/post/5-songs-i-love-w--catalina-cara,"Following the release of her latest single 'Shinon', Flex caught up with Moldovan-Romanian  artist Catalina Cara. Known for her captivating alt-pop sound, we wanted to find out what influences her vibrant sound. If you enjoy Catalina's picks, be sure to check out 'Shinon' at the end of the article. 1. Sampha – Plastic 100°C Sampha - Plastic 100°C (Official Audio)There’s something hauntingly beautiful about how Sampha blends vulnerability with experimental textures and rich auditory layers. This ",2025-04-10,online,FLEX,FLEX - The Best In New And Undiscovered Musical Talent,893,0,1745,19,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina Cara - 'Shinon',Coverage,"The Discovery Mix: Weekly Artist Roundup feat. DJ DIESEL, Catalina Cara, Rol3ert & More | CULTR",https://www.cultr.com/news/the-discovery-mix-weekly-artist-roundup-feat-dj-diesel-catalina-cara-rol3ert-more/,"This week’s Discovery Mix spans bass-heavy club tools, genre-bending alt-pop, and cross-cultural remix work that threads emotional weight through modern production. From high-intensity drops to slow-building narrative arcs, each release here speaks to a different facet of what it means to connect through sound. Whether engineered for festival chaos or internal reflection, these tracks reflect",2025-04-10,online,CULTR,,6155,0,25639,36,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina Cara - 'Shinon',Coverage,This week’s emerging and self-releasing artists,https://www.music-news.com/news/Underground/181088/This-week-s-emerging-and-self-releasing-artists,"Every week, Music News and Liberty Music look at the best new releases from emerging and self-releasing artists",2025-04-17,online,Music-News.com,"The number-one music magazine featuring band and artist news, reviews, interviews, videos, competitions and gossip.",560,4,61362,67,,,,,,,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina Cara - 'Shinon',Coverage,"Catalina Cara Is Bringing A Fresh Energy on Latest Single, 'SHINON' | News | Clash Magazine Music News, Reviews & Interviews",https://www.clashmusic.com/news/catalina-cara-is-bringing-a-fresh-energy-on-latest-single-shinon/,"Catalina Cara is stepping into a new chapter with latest single ‘SHINON’. A reference to the Japanese kanji for heartbeat, the Moldovan-Romanian singer",2025-04-18,online,CLASH,"Welcome to Clash, a music and fashion magazine based in the United Kingdom. The latest news and tickets in the music industry.",1536,2,285990,76,,,,,,,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina Cara - 'Shinon',Coverage,FRIDAY DINGERS - 25.04.25,https://www.therealding.com/post/friday-dingers-25-04-25,"Rumia - ‘Role Model’Rumia’s new single ‘Role Model’ offers a reflective glimpse into a past relationship that once served as a creative beacon, now reexamined through a more mature and grounded lens. With airy guitars and buoyant production, the track highlights her new album ‘Old Enough to Save Myself’.https://open.spotify.com/track/5hVwLxGBkywgdCjarql2Hq?si=4bb4977094b34b2bDenis Granan - ‘Surrender’Spanish singer-songwriter and multi-instrumentalist Denis Granan returns with ‘Surrender’, an at",2025-04-25,online,The Real Ding,,0,0,0,11,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina Cara - 'Shinon',Coverage,Five For Friday - 25th April 2025 - The Indie Grid,https://theindiegrid.co.uk/latest-news/five-for-friday-25th-april-2025/,"Denis Granan – ‘Surrender’ Spanish singer-songwriter and multi-instrumentalist Denis Granan returns with ‘Surrender’, a hypnotic, emotionally raw single co-produced with Ed Is Dead that blends haunting vocals with immersive electronic textures. Inspired by James Blake and crafted during a collaborative songwriting camp, the track explores the concept of surrender as a form of liberation, delivering […]",2025-04-25,online,The Indie Grid,"Explore The Indie Grid Music Blog for Indie Music and Independent Music Reviews. Discover Indie Artists, Latest Releases, and Indie Music News.",801,0,1174,13,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina Cara - 'Shinon',Coverage,Q&A With Catalina Cara • LOCK,https://www.lockmag.co.uk/qa-with-catalina-cara/,"Following the release of her latest single ‘Shinon’, Lock Magazine had the pleasure to speak […]",2025-04-25,online,LOCK,AN ADVOCATE FOR WOMEN IN MUSIC.,822,0,1832,22,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina Cara - 'Shinon',Radio,WARM Report for Catalina Cara   Shinon 2025 03 25 2025 04 24 ,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina Cara - 'Shinon',Radio,WARM Report for Catalina Cara   Shinon 2025 03 25 2025 04 10 ,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina Cara - 'Shinon',Radio,WARM Report for Catalina Cara   Shinon 2025 03 25 2025 04 18 ,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina Cara - 'Shinon',Radio,WARM Report for Catalina Cara   Shinon 2025 03 28 2025 04 03 ,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina Cara - 'Shinon',Radio,Catalina Cara   Shinon   Trax Fm Coverage,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina Cara - 'Shinon',Radio,Catalina Cara   Amazing Beats Coverage,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalina Cara - 'Shinon',Radio,Catalina Cara   Shinon   Black On Track Coverage,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
