Book,Section,Title,Url,Description,Published On,Category,Outlet Name,Outlet Description,Views,Engagements,Audience,Domain Authority,Comments,Backlink 1,Backlink 2,Backlink 3,Backlink 4,Backlink 5,Shares on Facebook,Pinterest Shares,X Shares,Facebook Followers,Facebook Comments,Facebook Likes,Facebook Shares,Instagram Followers,Instagram Comments,Instagram Likes,LinkedIn Followers,LinkedIn Comments,LinkedIn Reactions,Spotify Followers,Spotify Likes,TikTok Followers,TikTok Likes,TikTok Comments,TikTok Shares,Twitch Followers,X Followers,X Likes,X Reposts,YouTube Subscribers,YouTube Likes,OTS,Total No. of Playlist,Total No. of Followers,Impressions,Reach,Clicks,Clickthrough Rate (CTR),Streams,Listeners,Streams/Listener,Saves,Total Streams,Popularity Score,Total Views,Unique Users,Clicks to Service,Playlist Adds,Total Visits,Youtube Views,Youtube Likes,Youtube Playlist Adds
Daniel Frost - aneeté (old you),Playlisting,Daniel Frost - aneeté (old you),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Frost - aneeté (old you),Radio,WARM Report for Daniel Frost   Aneete Old You 2025 05 09 2025 05 15 ,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Frost - aneeté (old you),Radio,WARM Report for Daniel Frost   Aneete Old You 2025 05 11 2025 06 06 ,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Frost - aneeté (old you),Radio,WARM Report for Daniel Frost   Aneete Old You 2025 05 09 2025 05 22 ,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Frost - aneeté (old you),Radio,WARM Report for Daniel Frost   Aneete Old You 2025 05 11 2025 05 29 ,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Frost - aneeté (old you),Radio,WARM Report for Daniel Frost   Aneete Old You 2025 05 11 2025 06 06 ,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Frost - aneeté (old you),Radio,WARM Report for Daniel Frost   Aneete Old You 2025 05 11 2025 06 13 ,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Frost - aneeté (old you),Coverage,Daniel Frost’s 'Aneeté (old you)' is a ritual in rhythm and reflection | New Music - Music Crowns,https://www.musiccrowns.org/new-music/daniel-frosts-aneete-old-you-is-a-ritual-in-rhythm-and-reflection/,"Rising Afrohouse visionary Daniel Frost returns with “Aneeté (old you)”, a genre-defying, soul-stirring anthem that fuses the spiritual heartbeat of Afrohouse with the emotive architecture of melodic techno. More than a song, Aneeté is a ceremony—an invocation of memory, movement, and transformation wrapped in hypnotic percussion and cinematic grandeur. Written in the quiet, electric stillness […]",2025-05-16,online,Music Crowns,"Global music artist discovery platform - the go-to brand for the world’s best unsigned, independent and newly-signed music artists.",103,0,9747,65,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Frost - aneeté (old you),Coverage,Daniel Frost Unleashes Euphoric New Single ‘Aneeté (old you)’ A Soul-Stirring Afrohouse Journey: Pressparty,https://www.pressparty.com/pg/newsdesk/NextUpMusicPR/view/461734/,"Rising Afrohouse innovator Daniel Frost returns with a powerful new single, “Aneeté (old you)”, a genre-defying dance anthem that merge",,online,Pressparty,,384,0,32697,60,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Frost - aneeté (old you),Coverage,Daniel Frost shares soul-igniting Afrohouse anthem ‘Aneeté (old you)’  | Your EDM,https://www.youredm.com/2025/05/21/daniel-frost-shares-soul-igniting-afrohouse-anthem-aneete-old-you/,"Daniel Frost is the emerging Afrohouse visionary who released his latest celestial offering, ‘Aneeté (old you)’ on 15 May.  Written at 4am, and the",2025-05-21,online,Your EDM,"The world's best source for Electronic Dance Music, Interviews, Music Reviews & EDM news. Your EDM is your one stop-shop for all things EDM.",109,0,21213,81,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Frost - aneeté (old you),Coverage,Daniel Frost Summons the Spirit With ‘Aneeté (old you)’ — A Cinematic Afrohouse Anthem for the Soulful and Sleepless – FM famemagazine.co.uk,https://www.famemagazine.co.uk/daniel-frost-summons-the-spirit-with-aneete-old-you/,"Rising producer and sonic storyteller Daniel Frost is back and he’s opening a portal with aneeté (old you). The new track hits like a spiritual thunderclap, fusing Afrohouse soul with melodic techno heat. It's built for 3AM dancefloors, sunrise rituals, and anyone carrying the weight of their past on a beat.",2025-05-21,online,Fame Magazine,Fresh tunes daily and more since 2006,410,0,8968,48,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Frost - aneeté (old you),Coverage,Daniel Frost Unleashes Euphoric New Single ‘Aneeté (old you)’ A Soul-Stirring Afrohouse Journey - FindYourSounds,https://findyoursounds.com/daniel-frost-unleashes-euphoric-new-single-aneete-old-you-a-soul-stirring-afrohouse-journey/,"FindYourSounds is one of the leading EDM & Dance music news sites on the world wide web. News for the very best and the very latest dance music tracks are posted every day, seven days a week.",2025-05-22,online,FindYourSounds,.,964,2,2660,28,,,,,,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Frost - aneeté (old you),Coverage,Rising Afrohouse Innovator Daniel Frost Unveils ‘Aneeté (old you)’ – Afrotrax,https://afrotrax.com/rising-afrohouse-innovator-daniel-frost-unveils-aneete-old-you/,,2025-05-22,online,"Afrotrax – Part of the PLAYY. network. Music News, Music Reviews, Music Interviews, Music Blogs, Music Releases, Music Concerts, Music Videos, Artist Features, Electronic/Techno/House Music and Remixes.",,197,1,265,8,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Frost - aneeté (old you),Coverage,This week’s emerging and self-releasing artists,https://www.music-news.com/news/Underground/181749/This-week-s-emerging-and-self-releasing-artists,"Every week, Music News and Liberty Music look at the best new releases from emerging and self-releasing artists.<br />",2025-05-22,online,Music-News.com,"The number-one music magazine featuring band and artist news, reviews, interviews, videos, competitions and gossip.",600,76,52167,67,,,,,,,20,0,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
