Book,Section,Title,Url,Description,Published On,Category,Outlet Name,Outlet Description,Views,Engagements,Audience,Domain Authority,Comments,Backlink 1,Backlink 2,Backlink 3,Backlink 4,Backlink 5,Shares on Facebook,Pinterest Shares,X Shares,Facebook Followers,Facebook Comments,Facebook Likes,Facebook Shares,Instagram Followers,Instagram Comments,Instagram Likes,LinkedIn Followers,LinkedIn Comments,LinkedIn Reactions,Spotify Followers,Spotify Likes,TikTok Followers,TikTok Likes,TikTok Comments,TikTok Shares,Twitch Followers,X Followers,X Likes,X Reposts,YouTube Subscribers,YouTube Likes,OTS,Total No. of Playlist,Total No. of Followers,Impressions,Reach,Clicks,Clickthrough Rate (CTR),Streams,Listeners,Streams/Listener,Saves,Total Streams,Popularity Score,Total Views,Unique Users,Clicks to Service,Playlist Adds,Total Visits,Youtube Views,Youtube Likes,Youtube Playlist Adds
Reigns - Made For ,Playlisting,Reigns - Made For,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reigns - Made For ,Radio,WARM Report for Reigns   Made For 2025 05 10 2025 06 06 ,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reigns - Made For ,Radio,Reigns   Amazing Radio Coverage,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reigns - Made For ,Radio,Reigns   Made For   Belter Radio Coverage,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reigns - Made For ,Radio,Reigns   Made For   KMFM Radio Coverage,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reigns - Made For ,Radio,Reigns   Made For   SFM Radio Coverage,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reigns - Made For ,Radio,Reigns   Made For   Surrey Hills Radio Coverage,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reigns - Made For ,Radio,WARM Report for Reigns   Made For 2025 05 10 2025 05 29 ,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reigns - Made For ,Radio,WARM Report for Reigns   Made For 2025 05 09 2025 05 15 ,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reigns - Made For ,Radio,WARM Report for Reigns   Made For 2025 05 09 2025 05 22 ,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reigns - Made For ,Radio,WARM Report for Reigns   Made For 2025 05 10 2025 06 13 ,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reigns - Made For ,Coverage,"Reigns Crashes Back With ‘Made For’ — A Dark, Soul-Burning Prelude to Her ‘Approval Not Needed’ Era – FM famemagazine.co.uk",https://www.famemagazine.co.uk/reigns-crashes-back-with-made-for/,"UK alt-soul riser Reigns is done asking for permission — and her blistering new single Made For proves it. Serving as the lead punch from her upcoming EP Approval Not Needed, the track finds Reigns at her most unapologetic, fusing slick ’90s R&B textures with razor-sharp lyricism that cuts straight through the noise.",2025-05-09,online,Fame Magazine,Fresh tunes daily and more since 2006,410,0,8968,48,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reigns - Made For ,Coverage,Reigns Unveils Bold Pop-R&B Single 'Made For': Pressparty,https://www.pressparty.com/pg/newsdesk/NextUpMusicPR/view/460392/,"Rising UK artist Reigns returns with “Made For,” the bold and emotionally-charged lead single from her forthcoming EP, ‘Approval Not N",,online,Pressparty,,384,0,32697,60,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reigns - Made For ,Coverage,Review: Reigns – ‘Made For’,https://titsupontynenortheast.wordpress.com/2025/05/12/review-reigns-made-for/,Reigns returns with a resolute statement on ‘Made For’—the lead single from her forthcoming EP Approval Not Needed delivering a compelling collision of late ’90s R&B textures and sharp contempo…,2025-05-12,online,"Tits Upon Tyne - Women In Music, based in the North East.","Women In Music, based in the North East.est. 2018",87,9,217,15,,,,,,,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reigns - Made For ,Coverage,Reigns delivers R&B nostalgia and raw emotion on new single “Made For” [Video] – EARMILK,https://earmilk.com/2025/05/15/reigns-delivers-rb-nostalgia-and-raw-emotion-on-new-single-made-for-video/,,2025-05-15,online,EARMILK – All Milk. No Duds.,,399,0,43154,63,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reigns - Made For ,Coverage,FRIDAY DINGERS - 16.05.25,https://www.therealding.com/post/friday-dingers-16-05-25,"Rumia - ‘Kept All The Pain’Rumia’s sophomore album ‘Old Enough to Save Myself' blends melancholic trip-hop with acoustic warmth, exploring themes of self-growth, family dynamics, and emotional vulnerability through bilingual lyricism. Highlighted by the standout track ‘Kept All the Pain’, the album reflects on generational trauma and the burden of trying to hold others together while losing oneself in the process.https://open.spotify.com/track/77Sqnt2UPp0f4kCES07Bdy?si=a64d9b87aa314084Reigns - ‘",2025-05-16,online,The Real Ding,,174,0,279,11,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reigns - Made For ,Coverage,'Made For' by Reigns,https://notion.online/made-for-by-reigns/,"Reigns returns with 'Made For', a fierce, soul-drenched anthem of desire, disconnect, and unapologetic self-truth.",2025-05-15,online,Notion,"In the know about the music you love and the sounds you’re yet to discover, Notion is as independent as your music taste.",2430,0,42572,47,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
